sector,series,year,p25,p50,p75
INF,Advanced Economies,2000,0.3372,0.3523,0.3734
INF,Advanced Economies,2001,0.3334,0.3471,0.3688
INF,Advanced Economies,2002,0.334,0.3485,0.3637
INF,Advanced Economies,2003,0.333,0.3443,0.3602
INF,Advanced Economies,2004,0.3244,0.341,0.3592
INF,Advanced Economies,2005,0.3268,0.3464,0.3609
INF,Advanced Economies,2006,0.3227,0.3418,0.3566
INF,Advanced Economies,2007,0.3262,0.3408,0.3517
INF,Advanced Economies,2008,0.3201,0.3373,0.35
INF,Advanced Economies,2009,0.3158,0.3321,0.3477
INF,Advanced Economies,2010,0.3149,0.3333,0.3471
INF,Advanced Economies,2011,0.3117,0.3315,0.3409
INF,Advanced Economies,2012,0.3122,0.3286,0.3367
INF,Advanced Economies,2013,0.3122,0.3276,0.3363
INF,Advanced Economies,2014,0.3079,0.3269,0.3373
INF,Advanced Economies,2015,0.3101,0.3292,0.3391
INF,Advanced Economies,2016,0.3128,0.3331,0.3469
INF,Advanced Economies,2017,0.3232,0.3373,0.3566
INF,Advanced Economies,2018,0.3261,0.3423,0.3664
INF,Advanced Economies,2019,0.327,0.3475,0.3706
INF,Advanced Economies,2020,0.3313,0.3516,0.3741
INF,Advanced Economies,2021,0.3362,0.3592,0.3935
INF,Advanced Economies,2022,0.3313,0.3559,0.3819
INF,Advanced Economies,2023,0.3331,0.3595,0.3789
INF,Emerging Markets,2000,0.3465,0.3968,0.4556
INF,Emerging Markets,2001,0.3409,0.377,0.4342
INF,Emerging Markets,2002,0.3272,0.368,0.4221
INF,Emerging Markets,2003,0.3211,0.3577,0.4114
INF,Emerging Markets,2004,0.3102,0.3473,0.3869
INF,Emerging Markets,2005,0.3143,0.3496,0.3855
INF,Emerging Markets,2006,0.317,0.3481,0.3806
INF,Emerging Markets,2007,0.3184,0.3496,0.3783
INF,Emerging Markets,2008,0.3186,0.3451,0.3747
INF,Emerging Markets,2009,0.3096,0.3428,0.3711
INF,Emerging Markets,2010,0.3112,0.3408,0.3705
INF,Emerging Markets,2011,0.3089,0.3354,0.3669
INF,Emerging Markets,2012,0.3111,0.333,0.367
INF,Emerging Markets,2013,0.3077,0.332,0.363
INF,Emerging Markets,2014,0.3054,0.333,0.3683
INF,Emerging Markets,2015,0.3082,0.3388,0.3671
INF,Emerging Markets,2016,0.3088,0.3419,0.3723
INF,Emerging Markets,2017,0.313,0.3504,0.374
INF,Emerging Markets,2018,0.313,0.3543,0.3726
INF,Emerging Markets,2019,0.3196,0.3576,0.3804
INF,Emerging Markets,2020,0.3204,0.3568,0.3879
INF,Emerging Markets,2021,0.3213,0.3593,0.3971
INF,Emerging Markets,2022,0.3094,0.3599,0.4045
INF,Emerging Markets,2023,0.3282,0.3707,0.4209
INF,Low-Income Developing Countries,2000,0.4884,0.5809,0.6263
INF,Low-Income Developing Countries,2001,0.48,0.5685,0.608
INF,Low-Income Developing Countries,2002,0.4489,0.5496,0.59
INF,Low-Income Developing Countries,2003,0.4348,0.5323,0.5862
INF,Low-Income Developing Countries,2004,0.4231,0.5156,0.5795
INF,Low-Income Developing Countries,2005,0.4052,0.5065,0.5575
INF,Low-Income Developing Countries,2006,0.4003,0.475,0.5379
INF,Low-Income Developing Countries,2007,0.4044,0.4685,0.5263
INF,Low-Income Developing Countries,2008,0.3767,0.4672,0.5195
INF,Low-Income Developing Countries,2009,0.3762,0.4543,0.4934
INF,Low-Income Developing Countries,2010,0.3765,0.4291,0.4784
INF,Low-Income Developing Countries,2011,0.3667,0.424,0.4777
INF,Low-Income Developing Countries,2012,0.3763,0.4187,0.463
INF,Low-Income Developing Countries,2013,0.3739,0.421,0.4622
INF,Low-Income Developing Countries,2014,0.3804,0.4167,0.4565
INF,Low-Income Developing Countries,2015,0.383,0.413,0.4777
INF,Low-Income Developing Countries,2016,0.3926,0.4321,0.472
INF,Low-Income Developing Countries,2017,0.3868,0.4372,0.4737
INF,Low-Income Developing Countries,2018,0.3787,0.4423,0.4748
INF,Low-Income Developing Countries,2019,0.3781,0.4437,0.4745
INF,Low-Income Developing Countries,2020,0.3718,0.4389,0.4781
INF,Low-Income Developing Countries,2021,0.3818,0.4437,0.4946
INF,Low-Income Developing Countries,2022,0.3832,0.4316,0.5078
INF,Low-Income Developing Countries,2023,0.3824,0.4409,0.4937
HLT,Advanced Economies,2000,0.247,0.2632,0.2795
HLT,Advanced Economies,2001,0.2449,0.2584,0.2716
HLT,Advanced Economies,2002,0.2435,0.2576,0.2693
HLT,Advanced Economies,2003,0.2439,0.2554,0.27
HLT,Advanced Economies,2004,0.242,0.2551,0.2675
HLT,Advanced Economies,2005,0.2431,0.2547,0.2665
HLT,Advanced Economies,2006,0.2436,0.2556,0.267
HLT,Advanced Economies,2007,0.2414,0.2542,0.2671
HLT,Advanced Economies,2008,0.2377,0.2498,0.2636
HLT,Advanced Economies,2009,0.2372,0.2476,0.2633
HLT,Advanced Economies,2010,0.2353,0.2472,0.2613
HLT,Advanced Economies,2011,0.2324,0.2472,0.2584
HLT,Advanced Economies,2012,0.2337,0.2476,0.2595
HLT,Advanced Economies,2013,0.2339,0.2448,0.2604
HLT,Advanced Economies,2014,0.2336,0.2442,0.2617
HLT,Advanced Economies,2015,0.2331,0.2461,0.2646
HLT,Advanced Economies,2016,0.2332,0.2484,0.2675
HLT,Advanced Economies,2017,0.2366,0.2562,0.2717
HLT,Advanced Economies,2018,0.2404,0.2602,0.2769
HLT,Advanced Economies,2019,0.2423,0.2632,0.2813
HLT,Advanced Economies,2020,0.2469,0.2659,0.281
HLT,Advanced Economies,2021,0.2546,0.2695,0.2859
HLT,Advanced Economies,2022,0.264,0.2861,0.3037
HLT,Advanced Economies,2023,0.2699,0.2946,0.311
